date,part_name,supplier_name,historical_demand,inventory_level,raw_material_cost,machine_utilization,supplier_rating,lead_time,temperature,pressure,labor_hours,energy_cost,maintenance_cost,production_cost,market_price,safety_score,quality_score,procurement_source,safety_risk,decision
2020-01-01,Brake Plate,Supplier_B,322,3531,1577.97,88.98,1.69,21,57.82,11.49,6.25,860.72,153.18,7916.44,7617.01,37,51.72,External,High,Procure
2020-01-02,Bearing Unit,Supplier_A,297,4251,2481.89,82.48,4.98,38,48.42,4.6,13.74,809.86,565.41,11235.7,10970.64,75,66.79,External,Medium,Procure
2020-01-03,Cooling Fan,Supplier_D,336,4313,406.11,43.68,3.11,33,78.57,6.23,6.2,709.31,748.66,3980.07,3927.78,43,63.76,External,High,Procure
2020-01-04,Hydraulic Pump,Supplier_C,378,897,491.09,94.26,4.36,30,25.12,8.77,6.77,634.74,635.35,4970.04,5300.98,73,64.17,External,Medium,Manufacture
2020-01-05,Industrial Sensor,Supplier_E,303,879,2101.28,87.4,1.6,8,60.05,10.85,17.26,561.91,203.68,10066.66,10347.4,48,51.95,External,High,Procure
2020-01-06,Hydraulic Pump,Supplier_C,306,2950,2188.94,53.74,3.66,30,60.29,6.43,18.73,1108.59,296.52,10578.07,9618.65,62,68.06,External,Medium,Procure
2020-01-07,Gear Assembly,Supplier_D,391,2992,1224.55,63.53,4.65,39,46.86,2.2,6.62,110.47,514.45,5672.57,5150.16,86,75.04,External,Low,Procure
2020-01-08,Brake Plate,Supplier_E,357,1993,1842.36,56.12,3.13,9,49.47,5.06,18.7,158.84,581.24,8537.07,9090.93,85,75.83,External,Low,Manufacture
2020-01-09,Motor Shaft,Supplier_B,305,3406,2195.38,99.06,2.15,33,76.01,7.05,6.3,641.76,111.41,8817.85,8557.18,59,56.39,External,High,Procure
2020-01-10,Compressor Unit,Supplier_D,354,3002,299.19,91.25,1.51,29,39.65,5.59,4.11,463.56,571.94,4165.98,4647.54,64,63.89,External,Medium,Procure
2020-01-11,Compressor Unit,Supplier_D,312,4903,1520.09,95.81,2.18,31,81.0,3.05,3.05,549.05,675.87,7287.39,7646.0,45,63.37,External,High,Procure
2020-01-12,Brake Plate,Supplier_D,315,3818,2163.01,87.33,2.42,3,82.74,1.41,6.36,1197.63,204.15,9323.48,8201.92,40,64.6,External,High,Procure
2020-01-13,Control Valve,Supplier_C,350,121,1115.76,67.38,3.84,38,65.54,8.56,8.93,952.65,259.29,6793.28,5965.08,60,59.33,External,Medium,Procure
2020-01-14,Gear Assembly,Supplier_E,256,1600,895.48,52.33,1.71,11,74.1,11.92,18.7,1065.15,270.06,7124.26,6957.65,39,53.13,External,High,Procure
2020-01-15,Compressor Unit,Supplier_B,268,942,2030.13,52.48,1.42,5,62.91,11.11,6.36,505.43,848.84,8190.0,8390.25,58,53.64,External,High,Procure
2020-01-16,Industrial Sensor,Supplier_A,323,1860,972.31,49.1,2.55,31,56.77,8.52,8.58,363.52,395.96,5201.56,5067.85,76,65.01,External,Medium,Procure
2020-01-17,Gear Assembly,Supplier_E,306,3741,207.3,72.8,2.83,20,87.67,10.26,15.21,944.79,500.99,5549.5,5452.01,50,50.64,External,High,Procure
2020-01-18,Motor Shaft,Supplier_D,369,291,2407.02,95.2,3.51,4,39.79,3.81,7.44,988.33,665.67,10626.9,10644.28,66,71.82,External,Medium,Procure
2020-01-19,Steel Frame,Supplier_D,317,495,1561.88,99.51,3.83,8,30.79,7.85,14.32,704.89,365.74,9178.36,9127.93,62,55.34,External,Medium,Procure
2020-01-20,Cooling Fan,Supplier_D,298,4762,2084.89,57.24,4.56,35,40.12,1.67,9.78,1085.54,139.72,8958.83,8942.47,84,77.91,External,Low,Procure
2020-01-21,Compressor Unit,Supplier_D,430,4426,2098.19,81.84,2.16,13,63.02,8.78,5.54,1164.06,606.17,9394.9,8209.54,71,57.44,External,Medium,Procure
2020-01-22,Steel Frame,Supplier_B,357,973,352.74,75.83,3.11,5,32.96,11.67,15.21,618.12,617.18,5311.31,5155.53,39,59.26,External,High,Procure
2020-01-23,Cooling Fan,Supplier_C,374,2721,592.98,69.34,2.46,19,83.62,10.47,2.49,344.93,271.47,3313.68,3153.33,32,51.31,External,High,Procure
2020-01-24,Control Valve,Supplier_E,309,4435,915.58,79.95,1.01,18,48.77,6.88,7.26,668.82,79.94,5826.04,5292.28,75,69.82,External,Medium,Procure
2020-01-25,Steel Frame,Supplier_B,352,189,937.61,62.28,3.32,33,79.5,9.68,8.41,1188.49,615.55,6724.3,6341.26,35,55.11,External,High,Procure
2020-01-26,Steel Frame,Supplier_B,385,2379,1715.21,96.67,4.26,4,37.45,11.38,10.25,422.22,647.91,8930.76,8096.59,45,49.26,External,High,Procure
2020-01-27,Control Valve,Supplier_B,331,556,1633.21,82.33,1.15,18,41.92,3.38,14.24,779.36,72.16,7924.0,8116.97,67,70.12,External,Medium,Procure
2020-01-28,Cooling Fan,Supplier_B,402,2380,1337.56,85.25,1.01,24,24.15,9.73,10.27,863.38,639.21,7898.69,7322.33,49,65.32,External,High,Procure
2020-01-29,Bearing Unit,Supplier_B,361,4549,685.91,54.55,3.91,29,38.04,3.97,12.7,335.32,848.09,5311.9,5251.49,99,78.54,External,Low,Procure
2020-01-30,Motor Shaft,Supplier_B,378,1104,1078.56,50.11,3.74,31,54.32,10.65,12.72,747.31,201.97,6143.72,5898.33,38,65.72,External,High,Procure
2020-01-31,Industrial Sensor,Supplier_B,367,4634,1450.27,63.66,2.62,28,86.23,2.08,8.72,445.96,493.13,6415.68,6323.09,59,74.43,External,High,Procure
2020-02-01,Control Valve,Supplier_C,480,444,1276.37,86.0,3.65,9,47.22,2.96,18.81,1039.63,642.26,8646.33,9101.48,72,75.41,External,Medium,Manufacture
2020-02-02,Compressor Unit,Supplier_C,399,2811,492.77,96.33,4.81,26,64.78,8.93,19.21,886.23,245.57,6564.42,6197.7,61,53.22,External,Medium,Procure
2020-02-03,Compressor Unit,Supplier_B,355,4852,1693.87,65.64,1.99,2,49.94,2.92,12.47,1008.89,688.82,8859.95,8809.93,88,79.18,External,Low,Procure
2020-02-04,Industrial Sensor,Supplier_D,443,2562,368.02,86.45,1.98,6,23.28,2.74,3.29,319.65,787.88,4376.35,4695.38,72,75.05,External,Medium,Manufacture
2020-02-05,Compressor Unit,Supplier_A,353,1216,1069.85,68.22,1.74,29,55.25,7.11,10.84,138.03,742.37,6697.49,6774.52,73,65.87,External,Medium,Manufacture
2020-02-06,Gear Assembly,Supplier_B,420,725,1833.07,57.71,3.9,26,24.61,10.18,5.32,1035.58,270.06,7645.21,7248.09,53,68.74,External,High,Procure
2020-02-07,Steel Frame,Supplier_E,326,4479,246.05,84.36,2.41,28,81.86,3.95,10.7,525.43,733.58,4704.27,3929.04,42,70.0,External,High,Procure
2020-02-08,Industrial Sensor,Supplier_E,357,2079,1510.96,87.89,4.95,7,72.71,10.25,5.39,297.69,401.34,6985.78,6567.28,48,56.12,InHouse,High,Procure
2020-02-09,Industrial Sensor,Supplier_B,428,4094,969.4,52.17,3.86,34,46.51,9.89,14.67,201.08,276.49,5796.48,5887.18,45,58.97,External,High,Procure
2020-02-10,Control Valve,Supplier_C,455,1778,220.31,58.31,2.47,10,64.82,7.37,3.45,668.15,192.78,2657.24,2634.3,77,64.0,External,Medium,Procure
2020-02-11,Brake Plate,Supplier_E,432,322,637.88,69.69,1.6,22,27.84,8.11,19.16,265.14,822.63,6010.4,6329.18,75,65.72,External,Medium,Manufacture
2020-02-12,Motor Shaft,Supplier_C,421,843,2364.18,51.19,3.37,27,69.18,1.44,5.52,723.36,412.86,9420.55,9254.76,61,73.45,External,Medium,Procure
2020-02-13,Motor Shaft,Supplier_A,416,562,1398.64,95.73,2.18,39,77.59,5.04,13.89,900.04,785.87,8845.82,8458.53,30,55.7,External,High,Procure
2020-02-14,Brake Plate,Supplier_D,365,1668,2493.62,75.48,4.62,22,77.52,3.9,18.51,688.56,185.61,11077.97,10335.44,39,63.91,External,High,Procure
2020-02-15,Industrial Sensor,Supplier_C,402,3447,1407.08,47.27,2.77,19,39.9,2.65,6.46,1094.07,701.94,7204.35,6598.46,93,81.45,External,Low,Procure
2020-02-16,Compressor Unit,Supplier_E,416,1836,1451.05,51.04,2.17,36,38.46,5.29,18.82,271.13,143.51,7463.87,6940.05,96,75.95,External,Low,Procure
2020-02-17,Brake Plate,Supplier_A,486,4139,1101.24,97.26,3.35,9,56.5,4.9,9.0,643.35,64.93,6867.01,7522.2,77,61.34,External,Medium,Manufacture
2020-02-18,Bearing Unit,Supplier_D,456,4051,913.09,84.29,1.55,19,87.74,9.02,19.29,279.51,895.79,8129.63,7538.61,36,46.23,External,High,Procure
2020-02-19,Compressor Unit,Supplier_C,364,764,778.55,84.06,3.25,2,84.44,7.58,19.48,1063.49,112.51,7308.76,6723.61,50,55.87,External,High,Procure
2020-02-20,Bearing Unit,Supplier_D,460,1456,989.87,44.35,1.22,28,45.17,11.04,5.39,1125.46,442.31,5612.44,5256.53,58,67.13,External,High,Procure
2020-02-21,Hydraulic Pump,Supplier_A,430,1114,1257.66,93.72,3.43,39,74.59,2.6,16.96,540.0,796.63,8695.57,9211.64,76,62.79,External,Medium,Manufacture
2020-02-22,Motor Shaft,Supplier_A,419,2232,641.58,66.62,3.12,22,84.49,1.66,5.48,436.32,746.47,4709.16,4945.04,33,75.46,External,High,Procure
2020-02-23,Motor Shaft,Supplier_B,479,2768,717.21,79.58,3.08,6,38.26,6.88,6.08,407.25,450.5,4610.87,4482.98,71,64.46,External,Medium,Procure
2020-02-24,Compressor Unit,Supplier_B,500,1154,824.55,97.58,3.74,7,78.12,1.01,3.51,1045.7,569.22,6245.02,5454.14,51,69.88,External,High,Procure
2020-02-25,Control Valve,Supplier_C,498,1864,1233.3,46.0,1.18,6,38.75,9.66,4.82,850.69,585.25,5745.9,5680.07,37,69.17,External,High,Procure
2020-02-26,Steel Frame,Supplier_E,420,4558,1701.47,68.94,2.84,33,44.03,6.57,13.38,1068.65,143.35,8214.14,8564.45,61,64.87,External,Medium,Procure
2020-02-27,Hydraulic Pump,Supplier_B,446,2969,2169.14,42.98,2.78,14,33.92,6.37,10.09,229.27,292.17,7634.97,8251.08,78,73.3,External,Medium,Manufacture
2020-02-28,Steel Frame,Supplier_C,477,1512,860.4,69.97,2.84,1,55.5,4.99,16.24,623.63,305.84,5675.18,4503.05,73,69.57,External,Medium,Procure
2020-02-29,Gear Assembly,Supplier_D,507,767,622.58,55.14,4.92,25,79.03,5.12,7.98,843.8,371.41,4435.98,3965.81,52,66.9,External,High,Procure
2020-03-01,Compressor Unit,Supplier_A,444,3470,1071.35,94.66,1.56,6,56.96,5.74,19.44,1086.8,282.83,8306.17,8270.06,76,57.26,External,Medium,Procure
2020-03-02,Brake Plate,Supplier_B,459,1494,2257.08,63.91,3.76,28,28.64,1.18,2.9,520.22,263.77,8412.99,8952.57,96,80.96,External,Low,Manufacture
2020-03-03,Compressor Unit,Supplier_C,419,198,222.68,78.03,2.61,18,37.62,1.92,3.13,444.4,351.57,3128.64,2384.67,87,76.53,External,Low,Procure
2020-03-04,Motor Shaft,Supplier_A,417,4170,1759.1,91.62,3.05,27,59.4,6.56,14.62,1104.26,372.34,9253.25,8617.02,65,58.49,External,Medium,Procure
2020-03-05,Industrial Sensor,Supplier_D,509,521,1297.47,99.02,4.05,2,60.82,2.65,17.98,152.29,464.14,7979.04,7658.4,69,61.97,External,Medium,Procure
2020-03-06,Motor Shaft,Supplier_B,535,3750,570.41,70.23,1.63,21,60.38,9.57,16.32,627.56,197.51,5592.54,4803.1,59,63.16,External,High,Procure
2020-03-07,Gear Assembly,Supplier_B,472,4257,938.35,67.35,4.05,23,25.39,4.02,10.82,604.49,720.09,6299.07,5227.6,86,76.33,External,Low,Procure
2020-03-08,Control Valve,Supplier_D,522,1232,717.39,44.54,1.28,2,72.76,2.08,6.85,260.66,781.57,4867.01,5838.43,61,79.5,External,Medium,Procure
2020-03-09,Control Valve,Supplier_E,494,1802,2219.01,40.76,2.93,16,83.66,3.59,2.24,534.45,260.94,7334.33,7119.21,44,72.72,External,High,Procure
2020-03-10,Control Valve,Supplier_C,450,3720,1308.31,76.53,3.97,4,55.74,4.93,11.17,894.86,154.81,7044.6,6629.23,64,66.67,External,Medium,Procure
2020-03-11,Control Valve,Supplier_D,497,3290,1495.12,43.93,1.77,34,70.32,1.39,10.56,503.56,663.97,7055.16,6373.32,62,81.58,External,Medium,Procure
2020-03-12,Steel Frame,Supplier_A,551,697,1565.48,62.82,4.08,5,83.98,2.56,8.2,440.63,835.61,7625.88,7518.01,38,69.4,External,High,Procure
2020-03-13,Gear Assembly,Supplier_A,482,491,1671.12,40.22,1.67,34,64.98,4.56,12.41,960.09,79.88,8370.49,8006.09,64,72.31,External,Medium,Procure
2020-03-14,Control Valve,Supplier_E,555,1175,1339.78,76.91,4.2,22,67.2,4.42,15.12,1187.59,62.27,8475.67,8779.41,79,68.8,External,Medium,Manufacture
2020-03-15,Cooling Fan,Supplier_D,368,2750,241.11,65.52,2.88,20,70.5,9.8,14.62,957.29,205.91,4904.79,4277.68,58,60.76,External,High,Procure
2020-03-16,Motor Shaft,Supplier_C,523,2484,969.86,47.62,3.74,39,38.24,10.28,6.74,1030.98,632.07,5695.17,5595.8,35,62.72,External,High,Procure
2020-03-17,Gear Assembly,Supplier_D,491,909,622.91,57.78,4.67,13,60.79,3.13,12.54,1133.45,870.06,6195.47,6074.57,63,75.61,InHouse,Medium,Procure
2020-03-18,Brake Plate,Supplier_E,475,3409,1764.33,74.18,2.63,34,78.95,2.36,4.68,981.95,687.82,7924.23,8101.62,33,64.68,External,High,Procure
2020-03-19,Industrial Sensor,Supplier_B,494,3838,330.42,79.4,1.93,6,40.73,7.98,4.19,1178.39,537.08,4697.35,4515.44,76,61.69,External,Medium,Procure
2020-03-20,Industrial Sensor,Supplier_D,401,1259,1496.75,67.74,4.47,29,82.8,9.85,16.15,922.01,645.47,8698.97,8895.91,44,55.9,External,High,Procure
2020-03-21,Motor Shaft,Supplier_E,481,1631,684.45,88.24,1.65,33,63.43,11.6,14.49,827.67,246.09,6471.77,6529.01,56,47.89,External,High,Procure
2020-03-22,Gear Assembly,Supplier_E,508,2782,2382.35,46.75,3.53,1,49.62,1.07,15.82,862.68,635.27,9697.1,10035.04,86,82.81,External,Low,Manufacture
2020-03-23,Compressor Unit,Supplier_B,559,353,971.74,45.07,4.69,7,63.62,5.55,4.74,1090.09,323.23,5050.34,5254.36,78,71.63,External,Medium,Manufacture
2020-03-24,Compressor Unit,Supplier_E,470,3648,948.01,42.65,3.7,22,48.13,9.07,18.46,851.31,239.06,6964.4,6780.93,40,67.81,External,High,Procure
2020-03-25,Compressor Unit,Supplier_C,457,3285,2323.78,72.15,1.78,32,78.66,10.11,4.4,937.33,251.07,8638.26,9376.05,32,56.39,External,High,Procure
2020-03-26,Motor Shaft,Supplier_E,472,1331,1159.9,82.37,1.61,14,53.76,1.69,17.66,337.61,617.62,7391.29,7044.53,74,71.71,External,Medium,Procure
2020-03-27,Industrial Sensor,Supplier_B,536,2523,2414.58,47.83,2.01,24,83.08,8.49,8.34,1103.91,702.14,9702.59,10378.81,51,58.21,External,High,Procure
2020-03-28,Compressor Unit,Supplier_D,510,3675,255.59,78.34,2.57,19,55.69,4.18,3.9,591.93,544.53,4236.66,4689.29,78,65.96,External,Medium,Manufacture
2020-03-29,Control Valve,Supplier_E,472,4361,904.59,68.62,1.64,27,66.23,1.82,7.16,277.17,104.28,5073.52,5324.18,76,71.54,External,Medium,Manufacture
2020-03-30,Steel Frame,Supplier_E,519,1673,1732.24,99.24,4.19,23,89.84,6.38,5.27,979.77,82.31,7926.5,7837.23,35,60.32,External,High,Procure
2020-03-31,Motor Shaft,Supplier_C,501,3008,2248.97,83.05,2.43,21,30.29,2.74,10.83,492.03,234.59,9171.42,8777.06,64,69.15,External,Medium,Procure
2020-04-01,Control Valve,Supplier_B,540,4812,789.73,79.45,4.74,29,71.57,9.11,19.1,302.53,293.5,6246.63,6302.47,42,52.59,External,High,Procure
2020-04-02,Motor Shaft,Supplier_B,465,1725,2340.1,74.23,4.37,1,29.72,9.15,7.9,381.88,394.1,8682.16,8733.1,46,59.86,External,High,Procure
2020-04-03,Gear Assembly,Supplier_B,482,4098,1566.48,99.84,4.64,31,78.72,10.26,13.02,138.44,114.62,7484.98,7392.33,31,52.43,External,High,Procure
2020-04-04,Cooling Fan,Supplier_B,479,3983,2042.32,98.83,2.18,27,61.75,5.15,18.05,199.69,666.38,10642.84,10872.02,77,61.44,External,Medium,Manufacture
2020-04-05,Gear Assembly,Supplier_B,431,3615,1113.58,72.29,3.29,36,85.67,1.15,13.34,751.89,654.77,7683.85,8094.58,39,67.1,External,High,Procure
2020-04-06,Bearing Unit,Supplier_A,510,3503,688.01,67.31,2.29,27,80.62,3.86,8.52,1052.84,344.68,5383.22,4925.19,53,66.98,External,High,Procure
2020-04-07,Compressor Unit,Supplier_D,508,4698,2295.84,67.73,2.03,15,25.24,6.15,19.84,593.38,528.55,10448.58,10076.77,67,69.41,External,Medium,Procure
2020-04-08,Steel Frame,Supplier_E,497,4780,2346.21,65.7,3.43,25,29.61,8.63,5.37,788.66,135.78,9090.49,8415.11,67,63.97,External,Medium,Procure
2020-04-09,Brake Plate,Supplier_E,486,2058,1344.42,71.88,4.27,15,62.08,5.2,11.42,990.71,402.94,7381.39,7527.14,77,67.75,External,Medium,Manufacture
2020-04-10,Bearing Unit,Supplier_E,432,4109,214.94,56.42,1.37,19,56.28,6.9,16.34,492.45,778.93,5098.04,5841.61,71,65.16,External,Medium,Manufacture
2020-04-11,Control Valve,Supplier_C,477,2835,452.5,95.61,2.1,11,31.8,6.77,2.01,819.75,611.53,4383.92,3685.37,64,64.38,External,Medium,Procure
2020-04-12,Hydraulic Pump,Supplier_B,480,4591,1517.96,69.41,1.82,33,29.06,2.81,14.64,485.48,138.35,7614.38,7195.41,83,78.09,External,Low,Procure
2020-04-13,Compressor Unit,Supplier_D,459,3274,254.69,90.52,4.19,23,59.48,7.85,6.8,806.99,770.44,4699.03,3975.56,72,54.57,External,Medium,Procure
2020-04-14,Steel Frame,Supplier_E,487,501,1112.9,68.52,4.73,12,23.42,5.83,5.06,339.37,628.59,5865.49,5562.47,83,69.59,External,Low,Procure
2020-04-15,Bearing Unit,Supplier_B,512,1074,897.75,83.1,1.32,2,81.16,9.89,6.94,1175.62,435.1,6737.06,5666.4,30,51.28,External,High,Procure
2020-04-16,Gear Assembly,Supplier_B,578,323,1843.0,60.21,2.52,21,76.5,8.6,19.4,183.8,638.28,8780.16,9324.92,40,65.87,External,High,Procure
2020-04-17,Control Valve,Supplier_B,501,4713,327.83,77.49,4.66,14,74.98,2.23,18.05,655.76,196.9,5068.25,5404.66,68,68.65,InHouse,Medium,Procure
2020-04-18,Cooling Fan,Supplier_C,504,335,1324.08,69.9,2.38,34,21.12,6.38,5.85,414.93,517.91,6253.6,6345.58,76,71.02,External,Medium,Manufacture
2020-04-19,Cooling Fan,Supplier_D,488,3598,1531.96,62.03,3.85,15,23.33,8.73,4.11,760.92,575.24,7301.11,7750.68,79,66.0,External,Medium,Manufacture
2020-04-20,Industrial Sensor,Supplier_E,404,4311,1619.77,92.89,1.4,21,58.49,1.96,8.55,571.14,838.58,8382.61,8805.7,70,66.84,External,Medium,Manufacture
2020-04-21,Motor Shaft,Supplier_A,488,3334,1131.86,46.76,2.78,23,89.61,9.72,12.66,437.33,106.86,5805.8,5773.13,39,55.62,External,High,Procure
2020-04-22,Compressor Unit,Supplier_C,492,325,900.05,69.22,3.01,21,43.96,3.44,17.61,375.04,368.57,6837.49,6163.06,96,73.46,External,Low,Procure
2020-04-23,Steel Frame,Supplier_C,599,2377,1769.73,51.66,4.03,14,44.11,6.53,19.39,300.75,846.29,9086.89,8708.01,62,71.7,External,Medium,Procure
2020-04-24,Hydraulic Pump,Supplier_A,478,4377,2149.41,91.66,2.16,21,29.4,11.35,15.52,961.17,234.64,10961.14,10917.23,48,48.45,External,High,Procure
2020-04-25,Gear Assembly,Supplier_C,499,1441,1795.32,55.21,2.06,12,67.2,7.28,12.78,344.42,741.22,7884.41,7495.78,62,65.35,External,Medium,Procure
2020-04-26,Hydraulic Pump,Supplier_E,483,4136,2343.84,78.01,2.21,5,65.27,5.66,4.56,950.88,51.36,8966.5,9830.78,65,64.7,External,Medium,Procure
2020-04-27,Compressor Unit,Supplier_D,431,309,1849.71,49.93,3.22,2,27.09,1.07,3.33,633.54,72.0,6313.23,6391.78,99,88.11,External,Low,Manufacture
2020-04-28,Bearing Unit,Supplier_D,534,3827,1958.62,64.29,4.5,22,52.72,2.47,12.73,179.45,328.48,7890.7,7942.32,85,77.36,External,Low,Manufacture
2020-04-29,Hydraulic Pump,Supplier_E,515,4028,586.18,93.96,4.32,6,66.7,7.37,11.7,281.99,703.23,6127.93,6601.48,66,54.98,External,Medium,Procure
2020-04-30,Brake Plate,Supplier_E,516,2903,1164.94,49.96,1.23,2,54.55,6.43,17.23,1082.2,138.52,6929.11,7067.57,60,65.95,External,Medium,Procure
2020-05-01,Cooling Fan,Supplier_D,438,1209,1315.63,79.79,4.52,29,67.21,5.0,7.81,763.1,375.43,7430.35,7297.85,67,62.2,External,Medium,Procure
2020-05-02,Cooling Fan,Supplier_E,540,2126,789.47,52.27,1.38,36,77.14,11.16,2.71,302.77,161.75,3476.26,4233.19,45,56.95,External,High,Procure
2020-05-03,Compressor Unit,Supplier_C,413,493,1415.64,64.94,2.66,7,68.01,4.66,9.63,874.14,240.05,7079.92,7297.1,79,66.47,External,Medium,Manufacture
2020-05-04,Compressor Unit,Supplier_D,501,943,868.82,72.44,4.06,16,63.13,6.91,19.45,1005.59,477.55,7079.81,6832.86,74,63.75,External,Medium,Procure
2020-05-05,Industrial Sensor,Supplier_A,572,1624,1781.25,74.64,1.33,33,79.75,7.26,16.32,463.72,321.27,8885.83,8974.99,48,64.06,External,High,Procure
2020-05-06,Hydraulic Pump,Supplier_A,427,703,1281.66,76.15,1.16,33,83.04,6.8,2.61,712.25,230.13,6044.05,5779.08,39,61.62,External,High,Procure
2020-05-07,Bearing Unit,Supplier_E,444,681,1255.26,78.41,2.32,14,47.22,6.25,17.74,422.79,384.47,8019.75,7609.57,71,65.86,External,Medium,Procure
2020-05-08,Compressor Unit,Supplier_A,473,2039,2462.38,56.31,3.92,12,32.13,4.71,10.49,188.07,645.9,9628.11,10023.01,84,74.45,External,Low,Manufacture
2020-05-09,Gear Assembly,Supplier_A,444,232,1102.62,64.08,3.09,6,77.25,11.0,8.57,539.46,151.51,5794.51,5543.86,32,53.24,External,High,Procure
2020-05-10,Bearing Unit,Supplier_D,395,2938,1033.28,42.24,2.67,12,34.96,5.96,8.24,926.58,457.66,5835.55,5451.9,92,76.83,External,Low,Procure
2020-05-11,Bearing Unit,Supplier_C,466,3485,932.79,86.13,4.25,31,85.03,6.81,12.71,604.55,283.51,6088.24,6178.7,59,56.44,External,High,Procure
2020-05-12,Industrial Sensor,Supplier_B,413,3870,2257.92,90.23,4.07,12,21.6,8.22,11.55,545.8,371.83,9867.62,10392.01,78,63.88,External,Medium,Manufacture
2020-05-13,Steel Frame,Supplier_A,481,2368,1342.46,51.95,4.14,10,84.49,1.74,13.82,502.61,748.32,7275.54,6225.46,32,71.3,External,High,Procure
2020-05-14,Gear Assembly,Supplier_E,416,1075,1580.03,52.09,2.84,27,61.24,9.59,12.33,604.81,840.27,8114.24,7752.1,49,61.32,External,High,Procure
2020-05-15,Compressor Unit,Supplier_B,525,1913,615.88,42.52,1.08,7,74.23,6.64,4.59,450.05,256.53,3872.2,2754.96,62,67.24,External,Medium,Procure
2020-05-16,Motor Shaft,Supplier_A,418,3363,1444.17,98.22,1.69,36,47.89,8.23,6.63,773.4,585.48,7536.59,5844.3,75,58.13,External,Medium,Procure
2020-05-17,Bearing Unit,Supplier_C,437,1643,831.69,88.43,3.97,33,89.42,9.49,17.14,169.92,625.18,6482.65,6506.54,59,46.01,External,High,Procure
2020-05-18,Compressor Unit,Supplier_A,486,2935,1880.46,61.64,4.01,27,35.93,10.62,13.94,988.13,766.11,9384.1,8725.11,41,62.7,External,High,Procure
2020-05-19,Compressor Unit,Supplier_E,392,2838,2114.82,68.91,4.89,8,38.5,5.31,10.07,290.48,814.19,8899.78,9282.58,97,70.08,External,Low,Manufacture
2020-05-20,Control Valve,Supplier_C,456,1457,1844.06,57.52,1.76,5,23.6,9.93,5.29,796.79,447.79,7201.81,6601.48,58,60.31,External,High,Procure
2020-05-21,Brake Plate,Supplier_E,502,4234,1879.56,75.83,1.49,8,85.83,3.85,2.14,594.87,885.19,7651.29,7944.98,59,67.67,External,High,Procure
2020-05-22,Compressor Unit,Supplier_E,369,1416,1378.69,83.04,1.56,21,51.92,8.26,7.61,950.84,875.2,8169.39,8314.04,76,55.8,External,Medium,Manufacture
2020-05-23,Brake Plate,Supplier_E,447,261,1837.87,66.84,1.74,24,67.24,2.13,2.99,1008.75,480.5,7914.03,7446.48,76,71.36,External,Medium,Procure
2020-05-24,Compressor Unit,Supplier_E,448,2009,1172.18,92.42,3.11,7,68.12,1.22,10.68,324.62,510.73,6887.71,6635.84,76,62.87,External,Medium,Procure
2020-05-25,Gear Assembly,Supplier_E,470,1227,1698.43,71.02,4.9,19,81.22,2.05,16.79,844.9,617.59,9518.83,9605.63,36,71.62,External,High,Procure
2020-05-26,Steel Frame,Supplier_C,376,3970,795.79,48.66,3.36,31,66.54,4.51,7.14,308.9,367.74,4477.61,4742.8,73,71.77,External,Medium,Manufacture
2020-05-27,Gear Assembly,Supplier_D,370,1758,360.44,77.34,3.09,36,59.34,1.34,17.26,236.4,612.74,5580.19,6261.9,70,77.26,External,Medium,Manufacture
2020-05-28,Motor Shaft,Supplier_C,451,3225,1150.99,67.73,3.69,27,69.72,7.94,14.68,1123.33,487.14,7593.06,7700.3,75,59.36,External,Medium,Manufacture
2020-05-29,Gear Assembly,Supplier_D,438,2063,1262.09,96.14,1.3,29,72.57,4.48,4.25,280.83,80.12,5967.11,5944.26,63,62.48,External,Medium,Procure
